class,cap_shape,cap_surface,cap_color,odor,gill_spacing,gill_size,gill_color,stalk_shape,stalk_root,veil_type,veil_color,ring_number,ring_type,spore_print_color,population,habitat
edible,convex,fibrous,white,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,smooth,white,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,smooth,gray,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,scaly,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,white,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,flat,smooth,brown,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
poisonous,flat,smooth,white,pungent,close,narrow,black,enlarging,equal,partial,white,1,pendant,brown,several,urban
edible,flat,fibrous,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,scaly,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,scaly,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,gray,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,fibrous,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
poisonous,convex,smooth,white,pungent,close,narrow,pink,enlarging,equal,partial,white,1,pendant,black,several,grasses
edible,convex,fibrous,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,scaly,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
poisonous,flat,scaly,brown,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,brown,scattered,grasses
edible,convex,fibrous,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,gray,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,fibrous,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,flat,smooth,white,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,flat,smooth,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,scaly,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,flat,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,smooth,white,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,fibrous,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,flat,fibrous,brown,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
poisonous,convex,smooth,brown,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,black,several,urban
edible,convex,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
poisonous,flat,scaly,white,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,scattered,grasses
edible,convex,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,flat,fibrous,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,fibrous,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,white,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,fibrous,white,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,scaly,white,anise,close,broad,black,enlarging,club,partial,white,1,pendant,black,numerous,meadows
edible,convex,smooth,white,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,scaly,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,smooth,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
poisonous,flat,scaly,white,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,scattered,urban
edible,convex,fibrous,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
poisonous,flat,smooth,brown,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,black,scattered,urban
poisonous,flat,scaly,brown,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,brown,several,grasses
edible,convex,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,smooth,brown,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,brown,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,fibrous,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,flat,smooth,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,flat,fibrous,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,fibrous,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,fibrous,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
poisonous,flat,scaly,white,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,brown,several,urban
edible,convex,scaly,yellow,anise,close,broad,brown,enlarging,rooted,partial,white,1,pendant,brown,scattered,grasses
poisonous,flat,smooth,brown,pungent,close,narrow,pink,enlarging,equal,partial,white,1,pendant,black,scattered,grasses
edible,flat,fibrous,white,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,flat,fibrous,brown,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
poisonous,flat,smooth,brown,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,brown,several,grasses
edible,convex,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,fibrous,brown,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,fibrous,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,fibrous,white,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,flat,smooth,gray,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,flat,fibrous,white,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,flat,smooth,yellow,almond,crowded,narrow,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,white,almond,crowded,narrow,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,scaly,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,fibrous,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,gray,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,smooth,brown,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,bell,scaly,white,anise,close,broad,black,enlarging,club,partial,white,1,pendant,black,scattered,meadows
edible,convex,scaly,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,smooth,brown,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,fibrous,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,scaly,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,scaly,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,smooth,gray,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,fibrous,gray,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,smooth,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,black,abundant,grasses
edible,convex,scaly,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,fibrous,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,flat,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,flat,smooth,brown,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,fibrous,white,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,scaly,yellow,almond,close,broad,pink,enlarging,rooted,partial,white,1,pendant,brown,scattered,paths
edible,convex,fibrous,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,brown,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,scaly,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,white,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,scaly,white,almond,close,broad,black,enlarging,club,partial,white,1,pendant,black,scattered,meadows
edible,convex,smooth,brown,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,flat,smooth,white,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,flat,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,white,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,fibrous,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,white,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,smooth,white,almond,close,broad,brown,enlarging,club,partial,white,1,pendant,black,numerous,meadows
edible,flat,smooth,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
poisonous,flat,scaly,brown,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,several,grasses
edible,flat,fibrous,gray,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,white,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,scaly,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
poisonous,flat,smooth,brown,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,black,several,urban
edible,flat,smooth,gray,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
poisonous,convex,smooth,white,pungent,close,narrow,pink,enlarging,equal,partial,white,1,pendant,brown,several,urban
edible,convex,smooth,yellow,anise,close,broad,black,enlarging,club,partial,white,1,pendant,black,numerous,meadows
edible,convex,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,scaly,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,smooth,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,scaly,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,gray,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,flat,smooth,white,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,flat,fibrous,gray,none,crowded,broad,brown,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,flat,fibrous,brown,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
poisonous,flat,scaly,brown,pungent,close,narrow,pink,enlarging,equal,partial,white,1,pendant,black,scattered,urban
edible,convex,scaly,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,smooth,white,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,bell,smooth,white,almond,close,broad,gray,enlarging,club,partial,white,1,pendant,brown,scattered,meadows
edible,convex,smooth,white,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,flat,fibrous,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
edible,convex,scaly,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,gray,none,crowded,broad,pink,tapering,equal,partial,white,1,evanescent,black,scattered,grasses
poisonous,convex,smooth,white,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,black,scattered,grasses
edible,convex,smooth,brown,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,abundant,grasses
edible,convex,scaly,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,flat,fibrous,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
poisonous,convex,smooth,white,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,brown,several,grasses
edible,convex,fibrous,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,scaly,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,scaly,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,flat,scaly,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,flat,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,scaly,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,scaly,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
poisonous,convex,fibrous,gray,foul,close,broad,pink,enlarging,bulbous,partial,white,1,large,chocolate,solitary,grasses
poisonous,flat,smooth,white,pungent,close,narrow,pink,enlarging,equal,partial,white,1,pendant,black,scattered,grasses
edible,convex,fibrous,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,white,none,crowded,broad,chocolate,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,scaly,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,scaly,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,scaly,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,scaly,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,scaly,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
poisonous,flat,smooth,brown,pungent,close,narrow,brown,enlarging,equal,partial,white,1,pendant,brown,several,urban
edible,flat,fibrous,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
poisonous,convex,smooth,white,pungent,close,narrow,white,enlarging,equal,partial,white,1,pendant,black,scattered,grasses
edible,convex,fibrous,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,scaly,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,brown,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,flat,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,flat,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,scaly,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,scaly,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,scaly,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,scaly,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,scaly,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,flat,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,brown,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,scaly,red,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,several,woods
poisonous,convex,fibrous,gray,foul,close,broad,pink,enlarging,bulbous,partial,white,1,large,chocolate,solitary,woods
edible,convex,scaly,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,scaly,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
edible,convex,scaly,red,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,fibrous,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,flat,scaly,brown,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,convex,fibrous,brown,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,gray,none,close,broad,white,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,smooth,gray,none,crowded,broad,black,tapering,equal,partial,white,1,evanescent,brown,scattered,grasses
edible,convex,scaly,red,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,flat,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,scaly,red,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,black,several,woods
edible,convex,fibrous,gray,none,close,broad,purple,tapering,bulbous,partial,white,1,pendant,black,solitary,woods
edible,convex,fibrous,gray,none,close,broad,brown,tapering,bulbous,partial,white,1,pendant,brown,several,woods
edible,flat,fibrous,gray,none,close,broad,pink,tapering,bulbous,partial,white,1,pendant,brown,solitary,woods
